MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),ResistanceOnAtSetVoltage (ohm),ResistanceOffAtSetVoltage (ohm),ResistanceOnAtResetVoltage (ohm),ResistanceOffAtResetVoltage (ohm),ResistanceOnAtReadVoltage (ohm),ResistanceOffAtReadVoltage (ohm),ResistanceOnAtHalfResetVoltage (ohm),CapacitanceOn (F),CapacitanceOff (F),ReadMode,ReadVoltage (V),ReadPower (uW),ResetMode,ResetVoltage (V),ResetPulse (ns),ResetEnergy (pJ),SetMode,SetVoltage (V),SetPulse (ns),SetEnergy (pJ),MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_worst_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet50_int,7200000.0,2400000.0,-7.2,-2.4,-10.6,-7.2,-2.4,-7.2,-2.4,-5.76,-1.92,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_best_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet50_int,7200000.0,2400000.0,-7.2,-2.4,-10.6,-7.2,-2.4,-7.2,-2.4,-5.76,-1.92,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_worst_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_single,99000000.0,9900000.0,-99.0,-9.9,-109.9,-99.0,-9.9,-99.0,-9.9,-79.2,-7.920000000000001,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_best_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_single,99000000.0,9900000.0,-99.0,-9.9,-109.9,-99.0,-9.9,-99.0,-9.9,-79.2,-7.920000000000001,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_worst_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_single_int,2200000.0,220000.0,-2.2,-0.22,-3.4200000000000004,-2.2,-0.22,-2.2,-0.22,-1.76,-0.17600000000000002,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_best_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_single_int,2200000.0,220000.0,-2.2,-0.22,-3.4200000000000004,-2.2,-0.22,-2.2,-0.22,-1.76,-0.17600000000000002,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_worst_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_multi,297000000.0,40500000.0,-297.0,-40.5,-338.5,-297.0,-40.5,-297.0,-40.5,-237.6,-32.4,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_best_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_multi,297000000.0,40500000.0,-297.0,-40.5,-338.5,-297.0,-40.5,-297.0,-40.5,-237.6,-32.4,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_worst_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_multi_int,6600000.0,900000.0,-6.6,-0.9,-8.5,-6.6,-0.9,-6.6,-0.9,-5.28,-0.72,-1,-1,-1,-1,-1,-1,-1,1
 FeFET, 10, 1.000000, CMOS, 0.010000, 30000, 30000, 20000000000, 20000000000, 70000, 20000000000, 23000000000, 1e-16, 1e-16, current, -0.030000, 0.001400, voltage, -2.0, 0.925, nan, voltage, 2.0, 0.925, nan, data/cell_cfgs/FeFET_best_case.cell, RAM, LSTP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, WriteDynamicEnergy, 64, 2,ResNet26_multi_int,6600000.0,900000.0,-6.6,-0.9,-8.5,-6.6,-0.9,-6.6,-0.9,-5.28,-0.72,-1,-1,-1,-1,-1,-1,-1,1
